Market A,Market B,Market C,P1,P2,P3,Profit(â€°)
BTC,ETH,KMD,0.078007,0.000199,1.554e-05,1.0698047778598951
BTC,ETH,XLM,0.078007,8.03e-05,6.27e-06,0.9639106852195045
BTC,ETH,AION,0.078007,3.891e-05,3.03e-06,-1.7304557775538187
BTC,ETH,QSP,0.078007,1.068e-05,8.3e-07,-3.7386926142083388
BTC,ETH,ATOM,0.078008,0.0108,0.000841,-1.7643014771514531
BTC,ETH,LINK,0.07801,0.007229,0.0005634,-0.9474330777083928
BTC,ETH,FIRO,0.07801,0.001451,0.0001127,-4.351082947095963
BTC,ETH,OMG,0.07801,0.00164,0.000128,0.4971220074974081
BTC,ETH,WBTC,0.07801,12.81,1.0001,0.7924482949752676
BTC,ETH,CVC,0.07801,9.55e-05,7.44e-06,-1.3362496820450431
BTC,ETH,NANO,0.07801,0.000983,7.68e-05,1.514921724697471
BTC,ETH,SC,0.07801,4.17e-06,3.2e-07,-16.297793709654563
BTC,ETH,QLC,0.078014,8.59e-06,6.8e-07,14.712949793524999
BTC,ETH,IOTA,0.078014,0.000355,2.769e-05,-0.17945496962079588
BTC,ETH,BRD,0.078024,0.00017245,1.346e-05,0.3538547379777768
BTC,ETH,ADA,0.078024,0.0003625,2.827e-05,-0.4843779279231075
BTC,ETH,BNT,0.078024,0.000945,7.373e-05,-0.036347519173252074
BTC,ETH,IOST,0.078007,8.78e-06,6.9e-07,7.444194964922213
BTC,ETH,NEBL,0.077991,0.0002663,2.086e-05,4.381370578336652
BTC,ETH,IOTX,0.077987,3.193e-05,2.49e-06,-0.05016214226782889
BTC,ETH,XEM,0.077987,3.64e-05,2.84e-06,0.44851093102726836
BTC,ETH,ADX,0.077978,0.0001532,1.196e-05,1.152698421265752
BTC,ETH,EOS,0.077978,0.000851,6.66e-05,3.6275560442353694
BTC,ETH,PIVX,0.077978,0.000145,1.13e-05,-0.6022918931157806
BTC,ETH,DATA,0.077978,3.133e-05,2.44e-06,-1.2487419725061288
BTC,ETH,ZEC,0.077973,0.03952,0.003082,0.16454361784434823
BTC,ETH,LTC,0.077973,0.04021,0.003137,0.544022289607371
BTC,ETH,DOT,0.077974,0.007745,0.0006044,0.8136495747708139
BTC,ETH,CHR,0.077974,0.0002178,1.697e-05,-0.7500086617369117
BTC,ETH,BAT,0.077974,0.00034,2.65e-05,-0.42095479790404955
BTC,ETH,GALA,0.077974,0.00010852,8.46e-06,-0.20545187068921056
BTC,ETH,ONT,0.077974,0.0001851,1.443e-05,-0.20698417570841343
BTC,ETH,TRX,0.077974,2.092e-05,1.64e-06,5.384890516773266
BTC,ETH,STEEM,0.077974,0.0001178,9.19e-06,0.5076351470252316
BTC,ETH,THETA,0.077974,0.001267,9.89e-05,1.082484965694741
BTC,ETH,FTM,0.077973,0.0008215,6.391e-05,-2.260868130305127
BTC,ETH,NAS,0.077973,9.01e-05,7.1e-06,10.623316449233977
BTC,ETH,LUNA,0.077973,0.0227,0.0017705,0.2897761232270035
BTC,ETH,ELF,0.077973,0.0001233,9.62e-06,0.6167106589571869
BTC,ETH,SNT,0.077973,1.895e-05,1.49e-06,8.399937641630606
BTC,ETH,ICP,0.077973,0.008739,0.000681,-0.5958957977959534
BTC,ETH,AVAX,0.077973,0.0277,0.0021576,-1.0427102855792292
BTC,ETH,EZ,0.077973,0.000883,6.85e-05,-5.0858125106144625
BTC,ETH,SAND,0.077973,0.0014223,0.0001109,-0.008998115606728696
BTC,ETH,ICX,0.077973,0.0003204,2.503e-05,1.8993578125325872
BTC,ETH,WAVES,0.077973,0.004136,0.0003229,1.2517103760634196
BTC,ETH,STMX,0.077973,5.85e-06,4.5e-07,-13.465213303618938
BTC,ETH,MTL,0.077973,0.0005937,4.656e-05,5.776950802738101
BTC,ETH,EGLD,0.077973,0.06125,0.004774,-0.3865807028441415
BTC,ETH,RLC,0.077973,0.000888,6.92e-05,-0.5780471710986612
BTC,ETH,ZIL,0.077973,1.904e-05,1.49e-06,3.633341297736292
BTC,ETH,ZEN,0.077973,0.01718,0.00134,0.3164135186819461
BTC,ETH,KNC,0.077973,0.0003621,2.826e-05,0.9200495347043702
BTC,ETH,QTUM,0.077973,0.00242,0.0001892,2.6780832059583037
BTC,ETH,LSK,0.077973,0.000647,5.018e-05,-5.3228705509780205
BTC,ETH,WAN,0.077973,0.000178,1.39e-05,1.4990784046970962
BTC,ETH,ETC,0.077973,0.00933,0.000727,-0.6709250731512517
BTC,ETH,LRC,0.077973,0.00050626,3.946e-05,-0.3701361365512357
BTC,ETH,SOL,0.077973,0.04421,0.0034486,0.41009387502422
BTC,ETH,DASH,0.077973,0.03598,0.002804,-0.5234562352282035
BTC,ETH,GXS,0.077973,0.0006698,5.234e-05,2.1767685338185405
BTC,ETH,LOOM,0.077973,2.359e-05,1.84e-06,0.3354004992555115
BTC,ETH,XRP,0.077973,0.0002239,1.748e-05,1.2512949034642062
BTC,ETH,VET,0.077973,2.449e-05,1.91e-06,0.23106384937277014
BTC,ETH,MANA,0.077973,0.0008502,6.633e-05,0.5634923787607438
BTC,ETH,BNB,0.077973,0.1385,0.010803,0.34627371013029595
BTC,ETH,NEAR,0.077973,0.004593,0.00035844,0.8656382026694942
BTC,ETH,STRAX,0.077973,0.0004074,3.18e-05,1.0640177228373737
BTC,ETH,AXS,0.077973,0.02291,0.001788,0.9172667817844982
BTC,ETH,AAVE,0.077973,0.0659,0.005142,0.6965758953914047
BTC,ETH,XMR,0.077973,0.05961,0.004646,-0.42395492554903047
BTC,ETH,MATIC,0.077973,0.0006254,4.874e-05,-0.49860641739540856
BTC,ETH,ZRX,0.077973,0.0002335,1.82e-05,-0.3677493260653142
BTC,ETH,XVG,0.077973,4.66e-06,3.7e-07,18.2901982853203
BTC,ETH,GRT,0.077973,0.000184,1.436e-05,0.9038803286978148
BTC,ETH,POWR,0.077973,0.0001569,1.225e-05,1.3108016660208222
BTC,ETH,VGX,0.077973,0.000793,6.161e-05,-3.5998654366551364
BTC,ETH,VIB,0.077973,1.062e-05,8.4e-07,14.403001009838157
BTC,ETH,SCRT,0.077973,0.001722,0.00013436,0.6739728378832854
BTC,ETH,SSV,0.077973,0.002759,0.0002136,-7.1004727442876
BTC,ETH,ENJ,0.077973,0.0007031,5.475e-05,-1.328211589888606
BTC,ETH,BLZ,0.077973,5.873e-05,4.59e-06,2.3247185794832426
BTC,ETH,VOXEL,0.077973,0.000862,6.738e-05,2.488725126250424
BTC,ETH,GLM,0.077973,0.000127,9.91e-06,0.7502092133446769
BTC,ETH,NEO,0.077973,0.0072,0.000562,1.0587710560778785
BTC,ETH,REP,0.077973,0.004783,0.000378,13.554660636842408
BTC,ETH,QKC,0.077973,5.71e-06,4.5e-07,10.723030153034774
